 ,Total_Index,Manufacturing,MetalMachinery_Electrical,Information_Electronic,Chemical,Consumer_Goods,Electricity_GasSupply,Water_Supply
1982M01,15.75,15.38,20.97,2.33,22.24,84.27,15.85,33.36
1982M02,16.69,16.37,22.5,2.74,23.45,87.89,16.45,30.69
1982M03,18.77,18.37,24.7,3.05,25.7,101.82,18.82,33.54
1982M04,18.15,17.73,24.26,3.16,24.51,96.42,18.13,32.56
1982M05,18.49,18,25,3.14,25.89,94.34,19.94,35.52
1982M06,17.87,17.35,23.04,3.1,24.97,92.35,20.14,35.11
1982M07,18.4,17.81,24.22,3.28,25.54,93.01,21.55,37.53
1982M08,17.74,17.09,23.69,3.21,23.66,90.44,21.66,38.19
1982M09,18.21,17.63,23.77,3.15,25.41,93.14,20.88,38.86
1982M10,17.84,17.28,23.2,2.82,26.27,89.51,20.03,38.76
1982M11,17.47,16.98,23.59,2.82,25.26,87.74,18.76,37.33
1982M12,19.81,19.45,26.27,3.27,28.42,103.35,18.99,37.33
1983M01,19.13,18.73,24.69,3.08,27.83,99.95,18.99,37.19
1983M02,15.4,15.08,20.54,2.64,22.84,76.26,15.46,34.62
1983M03,19.75,19.4,25.67,3.52,28.93,99.88,19.26,37.14
1983M04,19.67,19.29,27.2,3.68,25.95,103.24,19.74,36.88
1983M05,20.51,20.05,27.63,3.82,29.03,101.88,21.75,38.98
1983M06,20.85,20.33,27.19,4.13,29.59,102.26,22.79,39.31
1983M07,21.48,20.77,28.02,4.34,30.11,103.58,25.74,41.61
1983M08,21.6,20.97,28.73,4.57,29.39,105,24.91,41.05
1983M09,21.05,20.49,28.93,4.31,29.12,101.05,23.73,40.6
1983M10,21.02,20.44,29.79,4.11,29.88,97.88,23.45,40.86
1983M11,21.11,20.74,29.17,4.25,31.37,97.27,20.76,39.94
1983M12,22.31,22,30.72,4.42,32.05,108.52,20.97,39.28
1984M01,23.13,22.92,29.59,4.45,32.86,121.1,20.71,38.86
1984M02,18.38,18.11,23.77,3.78,27.57,87.31,17.92,36.31
1984M03,23.19,22.86,29.94,5.03,32.7,114.74,22.1,38.63
1984M04,22.41,22.09,29.55,4.96,31.74,108.22,21.58,38.3
1984M05,24.07,23.74,30.6,5.46,35.76,112.34,23.27,39.67
1984M06,23.29,22.84,30.57,5.43,33.71,106.16,24.78,40.87
1984M07,24.16,23.59,31.37,5.4,34.49,113.22,27.43,42.95
