raw_data,Manufacturing,MetalMachinery_Electrical,Information_Electronic,Chemical,Consumer_Goods,Electricity_GasSupply,Water_Supply
131.57,132.57,101.14,146.89,93.0,66.55,96.25,75.61
134.96,136.5,103.36,148.27,99.86,65.34,102.97,80.09
136.01,136.5,102.25,151.04,95.28,65.34,108.72,80.09
136.76,136.5,100.03,153.12,89.57,60.51,117.36,90.17
140.81,141.42,97.8,162.12,86.13,58.09,112.56,90.17
132.34,133.55,92.23,153.12,80.42,64.13,102.97,85.69
129.71,130.6,91.12,150.35,80.42,64.74,100.09,85.69
129.49,130.6,94.46,150.35,74.7,62.32,93.38,78.97
129.49,130.6,94.46,148.27,80.42,61.11,92.42,86.81
108.41,108.96,69.97,128.89,70.12,75.62,84.74,84.57
