 ,總指數,總指數(不含土石採取業),礦業及土石採取業,製造業,金屬機電工業,資訊電子工業,化學工業,民生工業,電力及燃氣供應業,用水供應業
1996/1/1,29.62,29.53,227.68,28.25,49.36,8.31,53.19,111.57,48.34,75.54
1996/2/1,24.8,24.71,220.77,23.56,40.28,6.99,45.11,92.5,41.73,72.47
1996/3/1,29.68,29.58,243.43,28.25,50.44,8.67,51.18,107.89,49.53,76.25
1996/4/1,29.68,29.58,233.78,28.31,51.34,8.43,52.31,107.35,48.77,74.21
1996/5/1,30.88,30.78,213.57,29.36,53.29,8.83,53.82,110.95,53.43,75
1996/6/1,30.03,29.92,202.51,28.18,51,8.52,52.05,105.48,60.62,77.5
1996/7/1,30.71,30.61,201.67,28.7,50.92,8.54,53.82,110.3,65.24,80.28
1996/8/1,30.86,30.74,189.38,28.96,52.07,8.41,54.26,112.9,62.22,82.06
1996/9/1,30.09,29.99,191.22,28.26,48.83,8.73,52.72,107.73,60.05,82.92
1996/10/1,31.29,31.18,206.42,29.63,50.44,9.47,55.74,108.78,56.48,83.07
1996/11/1,31.73,31.63,210.02,30.26,52.97,9.7,56.02,108.85,52.93,77.27
1996/12/1,32.89,32.77,216.66,31.47,57.35,9.88,57.59,112.08,51.76,82.35
1997/1/1,31.4,31.29,222.31,29.92,53.99,8.73,56.65,113.96,51.93,81.63
1997/2/1,25.18,25.09,188.51,23.89,41.01,7.22,47.06,88.2,43.25,74.71
1997/3/1,32.89,32.77,228.67,31.37,56.04,9.82,57.97,114.02,53.84,68.66
1997/4/1,31.8,31.68,225.12,30.24,55.55,9.36,56.2,106.61,54.23,78.91
1997/5/1,33.09,32.97,240.8,31.32,58.24,9.63,57.65,110.92,60.69,77.51
1997/6/1,31.55,31.45,211.76,29.79,55.22,9.42,53.95,104.02,59.69,78.39
1997/7/1,32.95,32.84,204.63,30.91,56.17,9.79,56.76,108.88,67.13,83.23
1997/8/1,32.66,32.55,193.35,30.62,55.2,9.79,55.29,109.52,67.31,83.91
1997/9/1,32.58,32.47,198.98,30.78,54.88,10.45,54.43,105.08,61.04,84.26
1997/10/1,34.63,34.53,214.4,32.89,60.12,11.37,56.68,108.66,61.06,84.62
1997/11/1,33.52,33.41,202.42,31.97,57.96,11.22,54.94,104.42,55.67,82.29
1997/12/1,35.81,35.7,224.89,34.26,63.02,11.9,58.68,112.1,56.87,85.04
1998/1/1,29.36,29.24,202.13,27.82,49.16,8.85,52.15,98.19,51.9,85.08
1998/2/1,30.34,30.22,193.27,28.92,50.46,10.11,51.44,96.32,50.09,78.85
1998/3/1,34.19,34.05,212.89,32.59,58.21,11.29,57.44,107.83,57.02,84.38
1998/4/1,33.6,33.46,210.67,31.87,57.7,10.59,56.97,108.51,60.18,81.37
1998/5/1,33.42,33.28,200.73,31.46,56.84,10.53,56.56,105.67,65.88,78.61
1998/6/1,33.54,33.41,194.02,31.56,56.42,10.96,55.03,105.19,66.95,79.49
