 ,總指數,總指數(不含土石採取業),礦業及土石採取業,製造業,金屬機電工業,資訊電子工業,化學工業,民生工業,電力及燃氣供應業,用水供應業
1982M01,-,-43.02,-,-44.76,-33.06,-56.91,-23.56,-27.23,-26.93,5.15
1982M02,-,-40.67,-,-26.4,-10.47,-40.75,-2.74,4.37,-7.97,3.22
1982M03,-,-34.75,-,-35.18,-21.5,-49.57,-12.62,-5.91,-14.46,4.69
1982M04,-,-36.09,-,-37.92,-24.65,-49.86,-15.43,-12.38,-17.94,3.69
1982M05,-,-36.1,-,-37.53,-21.19,-50.14,-11.6,-14.93,-13.34,10.03
1982M06,-,-36.59,-,-39.21,-31.19,-51.23,-13.72,-11.98,-12.22,10.23
1982M07,-,-31.09,-,-38.6,-23.06,-53.23,-10.39,-16.63,-12.66,9.64
1982M08,-,-35.48,-,-41.26,-28.77,-51.83,-17.25,-19.36,-16.05,9.61
1982M09,-,-33.25,-,-36.06,-23.02,-49.44,-5.57,-12.92,-8.96,10.34
1982M10,-,-35.45,-,-37.84,-22.54,-57.03,-7.34,-13.82,-13.07,8.13
1982M11,-,-35.19,-,-36.59,-21.31,-53.71,-10.43,-11.63,-10.95,7.43
1982M12,-,-31.6,-,-34.38,-15.47,-49.6,-7.76,-12.74,-12.56,10.44
1983M01,-,21.39,-,21.84,17.74,32.09,25.14,18.6,19.86,11.49
1983M02,-,-7.74,-,-7.85,-8.7,-3.18,-2.62,-13.23,-6.04,12.78
1983M03,-,5.24,-,5.6,3.88,15.34,12.62,-1.89,2.35,10.74
1983M04,-,8.43,-,8.78,12.13,17.13,5.89,7.07,8.89,13.29
1983M05,-,10.93,-,11.27,10.41,22.22,12.09,7.98,9.08,9.74
1983M06,-,16.56,-,17.22,17.94,33.15,18.5,10.73,13.16,11.95
1983M07,-,16.87,-,16.52,15.74,32.98,17.86,11.36,19.47,10.89
1983M08,-,21.76,-,22.74,21.29,42.93,24.24,16.09,14.98,7.5
1983M09,-,15.57,-,16.21,21.77,37.02,14.56,8.47,13.7,4.49
1983M10,-,17.78,-,18.28,28.38,45.68,13.75,9.36,17.02,5.44
1983M11,-,20.8,-,22.04,23.68,50.62,24.21,10.85,10.65,7
1983M12,-,12.62,-,13.15,16.92,35.11,12.75,5,10.41,5.24
1984M01,-,21,-,22.35,19.84,44.07,18.08,21.17,9.07,4.48
1984M02,-,19.33,-,19.98,15.65,43.42,20.76,14.48,16,4.9
1984M03,-,17.34,-,17.75,16.62,42.86,13.02,14.87,14.79,4.02
1984M04,-,13.84,-,14.52,8.67,34.91,22.32,4.84,9.4,3.83
1984M05,-,17.39,-,18.47,10.75,43.18,23.19,10.26,7.06,1.76
1984M06,-,11.78,-,12.3,12.45,31.65,13.95,3.81,8.77,3.98
1984M07,-,12.34,-,13.63,11.93,24.4,14.52,9.31,6.56,3.22
1984M08,-,11.18,-,11.92,9.93,21.29,17.57,4.45,6.52,6.41
1984M09,-,4.47,-,4.53,1.66,14.52,7.72,-0.77,3.81,7.93
1984M10,-,5.54,-,6.01,-0.65,23.73,4.27,5.14,2.64,7.28
1984M11,-,5.78,-,5.93,4.75,18.85,1.78,5.86,8.56,5.08
1984M12,-,5.54,-,5.65,0.68,15.35,6.94,3.93,6.69,6.52
1985M01,-,3.88,-,3.87,5.04,16.47,6.06,-2.83,8.32,5.19
1985M02,-,6.04,-,6.39,5.78,15.14,3.77,5.83,3.88,10.61
1985M03,-,1.7,-,1.69,-3.12,5.17,4.41,0.19,5.79,5.74
1985M04,-,5.64,-,5.76,5.66,8.04,5.04,5.32,7.06,7.24
1985M05,-,0.29,-,-0.66,1.91,-3.49,-3.5,1.9,13.89,10.4
1985M06,-,-0.36,-,-0.56,2.63,-9.29,-0.86,1.98,3.3,8.29
1985M07,-,-0.58,-,-1.15,-1.16,-11.58,3.11,-0.73,2.29,8.55
1985M08,-,-2.45,-,-3.04,-2.91,-16.3,0.65,-0.99,4.66,7.39
1985M09,-,2.75,-,2.6,0,-8.45,7.77,3.94,6.27,6.81
1985M10,-,5.76,-,5.67,2.15,-16.78,17.37,6.36,8.94,8.28
1985M11,-,3.02,-,2.99,-2.97,-15.52,12.32,5.61,4.8,7.98
