"工業生產指數-月 依 期間, 指標 與 種類"

" ","總指數"," ","總指數(不含土石採取業)"," ","礦業及土石採取業"," ","製造業"," ","金屬機電工業"," ","資訊電子工業"," ","化學工業"," ","民生工業"," ","電力及燃氣供應業"," ","用水供應業"," "
" ","原始值","年增率(%)","原始值","年增率(%)","原始值","年增率(%)","原始值","年增率(%)","原始值","年增率(%)","原始值","年增率(%)","原始值","年增率(%)","原始值","年增率(%)","原始值","年增率(%)","原始值","年增率(%)"
"1982M01",-,-,11.22,-43.02,-,-,10.76,-44.76,16.18,-33.06,1.34,-56.91,19.89,-23.56,76.97,-27.23,14.35,-26.93,33.07,5.15
"1982M02",-,-,11.89,-40.67,-,-,11.46,-26.40,17.36,-10.47,1.57,-40.75,20.97,-2.74,80.28,4.37,14.90,-7.97,30.43,3.22
"1982M03",-,-,13.37,-34.75,-,-,12.86,-35.18,19.06,-21.50,1.76,-49.57,22.98,-12.62,93.00,-5.91,17.04,-14.46,33.25,4.69
"1982M04",-,-,12.93,-36.09,-,-,12.41,-37.92,18.71,-24.65,1.81,-49.86,21.92,-15.43,88.07,-12.38,16.42,-17.94,32.28,3.69
"1982M05",-,-,13.17,-36.10,-,-,12.60,-37.53,19.30,-21.19,1.80,-50.14,23.16,-11.60,86.18,-14.93,18.06,-13.34,35.22,10.03
"1982M06",-,-,12.74,-36.59,-,-,12.14,-39.21,17.78,-31.19,1.78,-51.23,22.33,-13.72,84.36,-11.98,18.24,-12.22,34.81,10.23
"1982M07",-,-,13.10,-31.09,-,-,12.47,-38.60,18.68,-23.06,1.88,-53.23,22.85,-10.39,84.96,-16.63,19.52,-12.66,37.20,9.64
"1982M08",-,-,12.64,-35.48,-,-,11.96,-41.26,18.27,-28.77,1.84,-51.83,21.16,-17.25,82.62,-19.36,19.62,-16.05,37.86,9.61
"1982M09",-,-,12.97,-33.25,-,-,12.34,-36.06,18.33,-23.02,1.81,-49.44,22.73,-5.57,85.09,-12.92,18.91,-8.96,38.52,10.34
"1982M10",-,-,12.71,-35.45,-,-,12.09,-37.84,17.90,-22.54,1.62,-57.03,23.49,-7.34,81.76,-13.82,18.15,-13.07,38.42,8.13
"1982M11",-,-,12.45,-35.19,-,-,11.89,-36.59,18.20,-21.31,1.62,-53.71,22.59,-10.43,80.15,-11.63,16.99,-10.95,37.01,7.43
"1982M12",-,-,14.11,-31.60,-,-,13.61,-34.38,20.27,-15.47,1.88,-49.60,25.42,-7.76,94.40,-12.74,17.20,-12.56,37.01,10.44
"1983M01",-,-,13.62,21.39,-,-,13.11,21.84,19.05,17.74,1.77,32.09,24.89,25.14,91.29,18.60,17.20,19.86,36.87,11.49
"1983M02",-,-,10.97,-7.74,-,-,10.56,-7.85,15.85,-8.70,1.52,-3.18,20.42,-2.62,69.66,-13.23,14.00,-6.04,34.32,12.78
"1983M03",-,-,14.07,5.24,-,-,13.58,5.60,19.80,3.88,2.03,15.34,25.88,12.62,91.24,-1.89,17.44,2.35,36.82,10.74
"1983M04",-,-,14.02,8.43,-,-,13.50,8.78,20.98,12.13,2.12,17.13,23.21,5.89,94.30,7.07,17.88,8.89,36.57,13.29
"1983M05",-,-,14.61,10.93,-,-,14.02,11.27,21.31,10.41,2.20,22.22,25.96,12.09,93.06,7.98,19.70,9.08,38.65,9.74
"1983M06",-,-,14.85,16.56,-,-,14.23,17.22,20.97,17.94,2.37,33.15,26.46,18.50,93.41,10.73,20.64,13.16,38.97,11.95
"1983M07",-,-,15.31,16.87,-,-,14.53,16.52,21.62,15.74,2.50,32.98,26.93,17.86,94.61,11.36,23.32,19.47,41.25,10.89
"1983M08",-,-,15.39,21.76,-,-,14.68,22.74,22.16,21.29,2.63,42.93,26.29,24.24,95.91,16.09,22.56,14.98,40.70,7.50
"1983M09",-,-,14.99,15.57,-,-,14.34,16.21,22.32,21.77,2.48,37.02,26.04,14.56,92.30,8.47,21.50,13.70,40.25,4.49
"1983M10",-,-,14.97,17.78,-,-,14.30,18.28,22.98,28.38,2.36,45.68,26.72,13.75,89.41,9.36,21.24,17.02,40.51,5.44
"1983M11",-,-,15.04,20.80,-,-,14.51,22.04,22.51,23.68,2.44,50.62,28.06,24.21,88.85,10.85,18.80,10.65,39.60,7.00
"1983M12",-,-,15.89,12.62,-,-,15.40,13.15,23.70,16.92,2.54,35.11,28.66,12.75,99.12,5.00,18.99,10.41,38.95,5.24
"1984M01",-,-,16.48,21.00,-,-,16.04,22.35,22.83,19.84,2.55,44.07,29.39,18.08,110.62,21.17,18.76,9.07,38.52,4.48
"1984M02",-,-,13.09,19.33,-,-,12.67,19.98,18.33,15.65,2.18,43.42,24.66,20.76,79.75,14.48,16.24,16.00,36.00,4.90
"1984M03",-,-,16.51,17.34,-,-,15.99,17.75,23.09,16.62,2.90,42.86,29.25,13.02,104.81,14.87,20.02,14.79,38.30,4.02
"1984M04",-,-,15.96,13.84,-,-,15.46,14.52,22.80,8.67,2.86,34.91,28.39,22.32,98.86,4.84,19.56,9.40,37.97,3.83
"1984M05",-,-,17.15,17.39,-,-,16.61,18.47,23.60,10.75,3.15,43.18,31.98,23.19,102.61,10.26,21.09,7.06,39.33,1.76
"1984M06",-,-,16.60,11.78,-,-,15.98,12.30,23.58,12.45,3.12,31.65,30.15,13.95,96.97,3.81,22.45,8.77,40.52,3.98
"1984M07",-,-,17.20,12.34,-,-,16.51,13.63,24.20,11.93,3.11,24.40,30.84,14.52,103.42,9.31,24.85,6.56,42.58,3.22
"1984M08",-,-,17.11,11.18,-,-,16.43,11.92,24.36,9.93,3.19,21.29,30.91,17.57,100.18,4.45,24.03,6.52,43.31,6.41
"1984M09",-,-,15.66,4.47,-,-,14.99,4.53,22.69,1.66,2.84,14.52,28.05,7.72,91.59,-0.77,22.32,3.81,43.44,7.93
"1984M10",-,-,15.80,5.54,-,-,15.16,6.01,22.83,-0.65,2.92,23.73,27.86,4.27,94.01,5.14,21.80,2.64,43.46,7.28
"1984M11",-,-,15.91,5.78,-,-,15.37,5.93,23.58,4.75,2.90,18.85,28.56,1.78,94.06,5.86,20.41,8.56,41.61,5.08
"1984M12",-,-,16.77,5.54,-,-,16.27,5.65,23.86,0.68,2.93,15.35,30.65,6.94,103.02,3.93,20.26,6.69,41.49,6.52
"1985M01",-,-,17.12,3.88,-,-,16.66,3.87,23.98,5.04,2.97,16.47,31.17,6.06,107.49,-2.83,20.32,8.32,40.52,5.19
"1985M02",-,-,13.88,6.04,-,-,13.48,6.39,19.39,5.78,2.51,15.14,25.59,3.77,84.40,5.83,16.87,3.88,39.82,10.61
"1985M03",-,-,16.79,1.70,-,-,16.26,1.69,22.37,-3.12,3.05,5.17,30.54,4.41,105.01,0.19,21.18,5.79,40.50,5.74
"1985M04",-,-,16.86,5.64,-,-,16.35,5.76,24.09,5.66,3.09,8.04,29.82,5.04,104.12,5.32,20.94,7.06,40.72,7.24
"1985M05",-,-,17.20,0.29,-,-,16.50,-0.66,24.05,1.91,3.04,-3.49,30.86,-3.50,104.56,1.90,24.02,13.89,43.42,10.40
"1985M06",-,-,16.54,-0.36,-,-,15.89,-0.56,24.20,2.63,2.83,-9.29,29.89,-0.86,98.89,1.98,23.19,3.30,43.88,8.29
"1985M07",-,-,17.10,-0.58,-,-,16.32,-1.15,23.92,-1.16,2.75,-11.58,31.80,3.11,102.67,-0.73,25.42,2.29,46.22,8.55
"1985M08",-,-,16.69,-2.45,-,-,15.93,-3.04,23.65,-2.91,2.67,-16.30,31.11,0.65,99.19,-0.99,25.15,4.66,46.51,7.39
"1985M09",-,-,16.09,2.75,-,-,15.38,2.60,22.69,0.00,2.60,-8.45,30.23,7.77,95.20,3.94,23.72,6.27,46.40,6.81
"1985M10",-,-,16.71,5.76,-,-,16.02,5.67,23.32,2.15,2.43,-16.78,32.70,17.37,99.99,6.36,23.75,8.94,47.06,8.28
"1985M11",-,-,16.39,3.02,-,-,15.83,2.99,22.88,-2.97,2.45,-15.52,32.08,12.32,99.34,5.61,21.39,4.80,44.93,7.98
"1985M12",-,-,18.21,8.59,-,-,17.69,8.73,25.47,6.75,2.71,-7.51,36.13,17.88,110.61,7.37,22.14,9.28,44.87,8.15
"1986M01",-,-,18.66,9.00,-,-,18.15,8.94,25.67,7.05,2.92,-1.68,35.90,15.17,116.51,8.39,22.60,11.22,43.82,8.14
"1986M02",-,-,14.20,2.31,-,-,13.76,2.08,19.50,0.57,2.36,-5.98,27.54,7.62,84.83,0.51,18.30,8.48,40.82,2.51
"1986M03",-,-,20.18,20.19,-,-,19.74,21.40,31.72,41.80,3.48,14.10,36.76,20.37,120.52,14.77,22.98,8.50,43.16,6.57
"1986M04",-,-,18.20,7.95,-,-,17.62,7.77,25.27,4.90,3.31,7.12,34.62,16.10,106.03,1.83,23.65,12.94,43.47,6.75
"1986M05",-,-,19.11,11.10,-,-,18.48,12.00,26.41,9.81,3.42,12.50,36.64,18.73,111.04,6.20,25.48,6.08,44.98,3.59
